age_group,gender,touristic_travel_freq,weekend_distance,historic_importance,restaurant_reviews_importance,food_activities_interest,attr_public_transport,attr_prices,attr_accommodation,attr_food,attr_history,attr_events,attr_landscape,attr_tourist_packs,week_trip_budget,night_accommodation_budget,discount_importance,guided_tours_importance,offseason_interest,private_transport_pref,public_transport_importance,max_transport,walking_tour_interest,location_Africa,location_Asia,location_Europe,location_Italy,location_South America,travel_purpose_Business,travel_purpose_Education,travel_purpose_I don’t travel,travel_purpose_Tourism,travel_purpose_Visiting family/friends,"trip_org_I don't go abroad and when traveling inside my country, I go with my family, and they do all the things.",trip_org_I plan and book everything myself,trip_org_Internet recommendations and blogs,trip_org_No organization whatsoever,trip_org_Relying on recommendations from friends/family,trip_org_Through a travel agency or tour operator,traveler_type_Couple Traveler,traveler_type_Family Traveler,traveler_type_Group Traveler,traveler_type_Solo Traveler,"trip_ideas_source_Again, I do not travel abroad, but if I were to I'd use all the above.",trip_ideas_source_Chat gpt,trip_ideas_source_Magazines or books,trip_ideas_source_My own bucket list or usually depends upon the transport cost,"trip_ideas_source_Online travel platforms (e.g., TripAdvisor, Booking.com, Expedia)","trip_ideas_source_Random Places, Historic or with something that is appealing at a ceratin time or mood.",trip_ideas_source_Recommendations from friends or family,"trip_ideas_source_Social media platforms (e.g., Instagram, TikTok, Pinterest)","trip_ideas_source_TV shows, movies, or documentaries",trip_ideas_source_Travel agencies or brochures,trip_ideas_source_Travel blogs or websites,arch_interest_Bridges,arch_interest_Castles and fortifications,arch_interest_Ports,arch_interest_Public squares,arch_interest_Religious sites
2,1,1,200,3,2,1,7,3,6,4,2,5,1,8,3000,275,4,3,1,0,4.0,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0
3,1,5,400,3,5,1,5,3,4,1,7,6,2,8,1250,100,4,3,1,0,4.0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0
2,0,2,400,4,3,1,7,4,3,1,5,6,2,8,1250,550,2,2,1,1,0.0,2,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1
3,1,0,200,5,5,0,6,8,1,7,5,4,3,2,3000,275,3,2,1,1,2.0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
3,0,3,200,4,4,1,2,3,4,1,6,8,5,7,1250,50,5,4,1,0,4.0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1
3,1,2,200,4,4,1,4,5,6,3,2,7,1,8,1250,100,5,3,1,0,5.0,2,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0
2,0,2,200,4,5,1,4,5,1,3,2,7,6,8,500,50,4,3,1,0,1.0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1
3,1,3,500,4,5,1,4,5,6,8,7,2,3,1,1250,275,5,5,1,1,5.0,2,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2,1,3,200,5,4,0,3,6,7,2,1,4,5,8,1250,100,2,1,1,1,0.0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1
3,1,1,400,1,5,1,8,3,1,2,5,6,4,7,3000,100,2,4,1,1,3.0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
